Metro Code,CSA Code,Metro Name,CSA Title,County Name,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
44460,525,"Steamboat Springs, CO","Steamboat Springs-Craig, CO",Routt County,Colorado,8,107,Central
44500,,"Stephenville, TX",,Erath County,Texas,48,143,Central
44540,,"Sterling, CO",,Logan County,Colorado,8,75,Central
44580,221,"Sterling, IL","Dixon-Sterling, IL",Whiteside County,Illinois,17,195,Central
44620,554,"Stevens Point, WI","Wausau-Stevens Point-Wisconsin Rapids, WI",Portage County,Wisconsin,55,97,Central
44660,,"Stillwater, OK",,Payne County,Oklahoma,40,119,Central
44700,488,"Stockton, CA","San Jose-San Francisco-Oakland, CA",San Joaquin County,California,6,77,Central
44740,,"Storm Lake, IA",,Buena Vista County,Iowa,19,21,Central
44780,310,"Sturgis, MI","Kalamazoo-Battle Creek-Portage, MI",St. Joseph County,Michigan,26,149,Central
44860,,"Sulphur Springs, TX",,Hopkins County,Texas,48,223,Central
44900,174,"Summerville, GA","Chattanooga-Cleveland-Dalton, TN-GA",Chattooga County,Georgia,13,55,Central
44940,,"Sumter, SC",,Clarendon County,South Carolina,45,27,Outlying
44940,,"Sumter, SC",,Sumter County,South Carolina,45,85,Central
44980,146,"Sunbury, PA","Bloomsburg-Berwick-Sunbury, PA",Northumberland County,Pennsylvania,42,97,Central
45000,,"Susanville, CA",,Lassen County,California,6,35,Central
45020,,"Sweetwater, TX",,Nolan County,Texas,48,353,Central
45060,532,"Syracuse, NY","Syracuse-Auburn, NY",Madison County,New York,36,53,Outlying
45060,532,"Syracuse, NY","Syracuse-Auburn, NY",Onondaga County,New York,36,67,Central
45060,532,"Syracuse, NY","Syracuse-Auburn, NY",Oswego County,New York,36,75,Outlying
45140,,"Tahlequah, OK",,Cherokee County,Oklahoma,40,21,Central
45180,142,"Talladega-Sylacauga, AL","Birmingham-Hoover-Talladega, AL",Talladega County,Alabama,1,121,Central
45220,,"Tallahassee, FL",,Gadsden County,Florida,12,39,Outlying
45220,,"Tallahassee, FL",,Jefferson County,Florida,12,65,Outlying
45220,,"Tallahassee, FL",,Leon County,Florida,12,73,Central
45220,,"Tallahassee, FL",,Wakulla County,Florida,12,129,Outlying
45300,,"Tampa-St. Petersburg-Clearwater, FL",,Hernando County,Florida,12,53,Outlying
45300,,"Tampa-St. Petersburg-Clearwater, FL",,Hillsborough County,Florida,12,57,Central
45300,,"Tampa-St. Petersburg-Clearwater, FL",,Pasco County,Florida,12,101,Central
45300,,"Tampa-St. Petersburg-Clearwater, FL",,Pinellas County,Florida,12,103,Central
45340,,"Taos, NM",,Taos County,New Mexico,35,55,Central
45380,522,"Taylorville, IL","Springfield-Jacksonville-Lincoln, IL",Christian County,Illinois,17,21,Central
45460,,"Terre Haute, IN",,Clay County,Indiana,18,21,Central
45460,,"Terre Haute, IN",,Parke County,Indiana,18,121,Outlying
45460,,"Terre Haute, IN",,Sullivan County,Indiana,18,153,Outlying
45460,,"Terre Haute, IN",,Vermillion County,Indiana,18,165,Outlying
45460,,"Terre Haute, IN",,Vigo County,Indiana,18,167,Central
45500,,"Texarkana, TX-AR",,Little River County,Arkansas,5,81,Outlying
45500,,"Texarkana, TX-AR",,Miller County,Arkansas,5,91,Central
45500,,"Texarkana, TX-AR",,Bowie County,Texas,48,37,Central
45520,,"The Dalles, OR",,Wasco County,Oregon,41,65,Central
45540,422,"The Villages, FL","Orlando-Lakeland-Deltona, FL",Sumter County,Florida,12,119,Central
45580,122,"Thomaston, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Upson County,Georgia,13,293,Central
45620,,"Thomasville, GA",,Thomas County,Georgia,13,275,Central
45660,534,"Tiffin, OH","Toledo-Findlay-Tiffin, OH",Seneca County,Ohio,39,147,Central
45700,,"Tifton, GA",,Tift County,Georgia,13,277,Central
45740,122,"Toccoa, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Stephens County,Georgia,13,257,Central
45780,534,"Toledo, OH","Toledo-Findlay-Tiffin, OH",Fulton County,Ohio,39,51,Outlying
45780,534,"Toledo, OH","Toledo-Findlay-Tiffin, OH",Lucas County,Ohio,39,95,Central
45780,534,"Toledo, OH","Toledo-Findlay-Tiffin, OH",Ottawa County,Ohio,39,123,Outlying
45780,534,"Toledo, OH","Toledo-Findlay-Tiffin, OH",Wood County,Ohio,39,173,Central
45820,,"Topeka, KS",,Jackson County,Kansas,20,85,Outlying
45820,,"Topeka, KS",,Jefferson County,Kansas,20,87,Outlying
45820,,"Topeka, KS",,Osage County,Kansas,20,139,Outlying
45820,,"Topeka, KS",,Shawnee County,Kansas,20,177,Central
45820,,"Topeka, KS",,Wabaunsee County,Kansas,20,197,Outlying
45860,408,"Torrington, CT","New York-Newark, NY-NJ-CT-PA",Litchfield County,Connecticut,9,5,Central
45900,,"Traverse City, MI",,Benzie County,Michigan,26,19,Outlying
45900,,"Traverse City, MI",,Grand Traverse County,Michigan,26,55,Central
45900,,"Traverse City, MI",,Kalkaska County,Michigan,26,79,Outlying
